brin;vestnr;opbrengst_bb;opbrengst_kb;opbrengst_gt;opbrengst_ha;opbrengst_vw
17KF;0;1;1;0;7;7
17KF;2;1;1;1;7;7
17KY;0;7;7;1;7;7
17VF;0;7;7;7;1;1
17VF;1;1;1;7;7;7
17VF;2;1;1;7;7;7
17VF;3;7;7;0;7;7
17VF;4;7;7;0;7;7
17VN;1;7;7;7;1;9
17VN;2;1;1;0;7;7
17VN;5;7;7;7;1;1
17VN;6;7;7;7;1;1
17VN;7;7;7;1;7;7
17VP;0;7;7;7;1;1
17VP;1;7;1;1;7;7
17VP;2;1;7;7;7;7
17VS;0;1;1;1;1;1
17VS;2;7;7;1;7;7
17VS;3;1;1;1;0;9
17VS;4;9;9;1;9;9
17WP;0;7;7;1;0;1
17WQ;0;7;7;0;1;1
17WQ;5;1;0;0;7;7
17WQ;6;7;7;7;1;1
17WQ;8;1;0;1;7;7
17WQ;11;0;0;0;7;7
17XU;0;1;1;1;1;1
17YF;0;1;1;9;7;7
17YF;2;6;6;9;7;7
17YS;0;0;0;0;9;7
17YS;2;7;7;7;7;7
17YS;3;7;7;1;1;0
17YS;4;1;1;1;7;7
17YS;8;7;7;7;1;1
17YS;12;7;7;7;7;7
18AN;0;1;0;1;7;7
18CH;0;7;7;0;1;1
18CH;2;1;1;7;7;7
18CH;4;1;1;1;9;9
18CH;7;7;7;7;1;6
18CH;9;6;6;0;7;7
18CH;10;1;1;7;7;7
18CH;12;9;9;9;7;7
18CR;0;1;1;1;1;1
18CV;0;1;1;1;1;1
18DD;0;7;7;7;1;1
18DD;2;1;1;1;7;7
18DE;0;7;7;1;7;7
18DO;0;7;7;1;1;1
18DQ;0;1;1;1;1;1
18GC;0;1;1;1;1;1
18TR;0;1;0;1;1;0
18TR;1;1;1;0;9;7
18TR;2;7;7;1;1;1
18TR;3;1;1;7;7;7
18TR;6;7;7;7;7;7
18TR;7;9;9;1;1;1
18TR;11;9;9;7;7;7
18WS;0;7;7;0;1;0
18WS;1;1;1;1;7;7
18WS;2;9;7;7;7;7
18XR;0;7;7;1;1;1
18XU;0;7;7;1;1;1
18XU;1;7;7;7;7;7
18XX;0;1;0;1;7;7
19DH;0;7;7;1;1;1
19EN;0;7;7;1;1;1
19EO;0;7;7;6;7;7
19EQ;0;7;7;1;7;7
19ET;0;9;1;1;7;7
19EW;0;7;7;7;1;1
19EW;1;1;1;1;7;7
19FF;0;1;1;1;1;1
19FF;4;7;7;1;9;9
19GY;0;7;7;9;1;0
19GY;2;1;1;1;7;7
19GY;3;1;0;7;7;7
19GY;4;7;7;1;7;7
19GY;5;7;7;0;7;7
19GY;6;7;7;1;7;7
19HG;0;7;7;1;1;1
19HG;2;1;1;1;7;7
19HG;4;7;7;7;7;7
19HR;0;1;1;1;1;1
19HV;0;7;7;7;7;1
19HY;0;9;9;0;7;7
19IP;0;7;7;1;1;1
19IW;0;1;1;1;1;1
19KM;0;1;0;1;7;7
19KZ;0;7;7;1;1;1
19LO;0;1;1;1;1;1
19PV;0;1;1;1;1;1
19QA;0;7;7;1;1;1
19QA;4;0;1;7;7;7
19QC;0;7;7;1;1;7
19RX;0;7;7;7;1;1
19RX;1;1;1;1;1;7
19RX;2;1;1;1;9;7
19RX;3;0;1;1;7;7
19TI;0;7;7;1;1;1
19TI;3;0;0;9;7;7
19XH;0;7;7;7;1;1
19XH;1;6;6;1;7;7
19XH;2;7;7;1;7;7
19XH;3;7;7;1;7;7
19XH;4;1;1;7;7;7
19XH;7;1;1;1;7;7
19XS;0;7;7;1;1;1
19XV;0;1;1;1;7;7
19XV;1;7;7;1;1;0
19XV;2;1;1;1;7;7
19XY;0;7;7;1;1;1
19ZP;0;9;1;1;7;7
19ZP;3;9;7;6;7;7
19ZP;4;9;9;7;7;7
19ZP;5;7;7;1;7;7
19ZQ;0;7;7;1;1;1
19ZQ;2;1;1;7;7;7
19ZU;0;7;7;7;7;1
19ZX;0;9;9;1;1;1
20AA;0;7;7;7;7;1
20AB;0;7;7;1;1;1
20AB;4;1;1;9;7;7
20AD;0;7;7;1;1;1
20AE;0;9;1;0;0;1
20AE;1;7;7;1;9;9
20AI;0;7;7;7;7;1
20AJ;0;7;7;7;7;1
20AM;0;1;1;1;1;1
20AT;0;7;7;1;1;1
20AT;1;7;7;1;7;7
20AT;3;1;1;7;7;7
20AT;4;7;7;7;7;7
20BC;0;7;7;1;0;0
20BC;1;9;0;1;7;7
20BH;0;7;7;1;1;0
20BH;1;1;1;7;7;7
20BK;0;7;7;1;1;1
20BK;1;1;1;1;7;7
20BQ;0;7;7;1;1;1
20BV;0;7;7;7;7;1
20CF;0;7;7;7;7;1
