brin;vestnr;samens;llns;nvests;samena1;samena2;samena3;samena4;samena5;samena6;samenb1;samenb2;samenb3;samenb4;samenb5;samenb6;aanbod1;aanbod2;perccat1;klcomb1a;percsam1;klcomb1g;renondb;renonbol;renoncat;blpop;blphond;blpond;klpbov;klphbov;klpop;klphond;klpond;gtpbov;gtphbov;gtpop;gtphond;gtpond;hapbov;haphbov;hapop;haphond;hapond;vwpbov;vwphbov;vwpop;bl1e3e;kl1e3e;gt1e3e;ha1e3e;vw1e3e;BaOnv;KaOnv;GtOnv;HaOnv;VwOnv;BAonvbol;KAonvbol;GTonvbol;HAonvbol;VWonvbol;BAtotcec;KAtotcec;GTtotcec;HAtotcec;VWtotcec;BAtotbol;KAtotbol;GTtotbol;HAtotbol;VWtotbol;BAnedcec;KAnedcec;GTnedcec;HAnedcec;VWnedcec;BAnedbol;KAnedbol;GTnedbol;HAnedbol;VWnedbol;BAmvtcec;KAmvtcec;GTmvtcec;HAmvtcec;VWmvtcec;BAmvtbol;KAmvtbol;GTmvtbol;HAmvtbol;VWmvtbol;BAzaacec;KAzaacec;GTzaacec;HAzaacec;VWzaacec;BAzaabol;KAzaabol;GTzaabol;HAzaabol;VWzaabol;BAecocec;KAecocec;GTecocec;HAecocec;VWecocec;BAecobol;KAecobol;GTecobol;HAecobol;VWecobol;BAexacec;KAexacec;GTexacec;HAexacec;VWexacec;BAexabol;KAexabol;GTexabol;HAexabol;VWexabol;VWklacec;VWklabol;Basectec;Basectlb;Basecttk;Basectzw;Kasectec;Kasectlb;Kasecttk;Kasectzw;HaprofCM;HaprofEM;HaprofNG;HaprofNT;VwprofCM;VwprofEM;VwprofNG;VwprofNT
01VJ;10;LWOO, VMBO, HAVO, VWO;4658 leerlingen;6 vestigingen;37 leerlingen, waarvan:;- 100% in de eerste twee leerjaren; ; ; ; ; ; ; ; ; ; ; ; ;100;VMBO b;0;geen; ; ;nvt; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
01VN;0;LWOO, VMBO, HAVO, VWO;2090 leerlingen;2 vestigingen;1441 leerlingen, waarvan:;- 36% in de eerste twee leerjaren;-  5% VMBO vanaf leerjaar 3;- 20% HAVO vanaf leerjaar 3;- 38% VWO vanaf leerjaar 3; ;79 leerlingen VMBO vanaf leerjaar 3, waarvan:;- 100% theoretische leerweg; ; ; ; ; ; ;0;geen;100;VMBO (g)t/HAVO/VWO;101,010638297872;3;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;0;0;15;39;45;8;19;27;36;10;20;25;55; ; ;88;95;97; ; ;90,1962682136041;59,2877293870968;69,9750836219094; ; ;3;3;4; ; ;6,21666666666667;6,27849002849002;6,36778017241379; ; ;3;3;3; ; ;6,07441860465116;6,21650485436893;6,21008403361344; ; ;3;4;3; ; ;6,53;6,10350877192983;6,33275862068966; ; ;3;3;4; ; ;6,03409090909091;6,38846153846154;6,11267605633803; ; ;3;4;3; ; ;6,08611111111111;6,41012658227848;6,13; ; ;3;3;3; ; ;6,00972222222222;6,34098360655738;6,59120234604105; ; ;3;3;3;6,11521739130435;3; ; ; ; ; ; ; ; ;21;48;19;12;16;18;38;28
01VN;4;LWOO, VMBO, HAVO, VWO;2090 leerlingen;2 vestigingen;519 leerlingen, waarvan:;- 43% in de eerste twee leerjaren;- 57% VMBO vanaf leerjaar 3; ; ; ;297 leerlingen VMBO vanaf leerjaar 3;(incl. 134 leerlingen LWOO), waarvan:;- 40% basisberoepsgerichte leerweg;- 52% kaderberoepsgerichte leerweg;-  8% gemengde leerweg; ; ; ;0;geen;100;VMBO, VMBO/HAVO/VWO;96,5346534653465;3;VMBO-breed/HAVO/VWO;60;15;26;11;11;36;25;16;20;40;40;0;0; ; ; ; ; ; ; ; ;100;100;100; ; ;76,7408953331826;74,8251780425385;52,1604938271605; ; ;1;2;1; ; ;6,37163461538461;6,45361842105263;6,32535211267606; ; ;3;5;5; ; ;6,29090909090909;5,95263157894737;5,83333333333333; ; ;3;3;3; ; ;6,7843137254902;6,87105263157895;6,16666666666667; ; ;3;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ;6,17727272727273;6,64166666666667; ; ; ;3;5; ; ;6,2;6,54923076923077;6,58260869565217; ; ;3;5;5; ; ; ; ;19; ;81; ;29; ;71; ; ; ; ; ; ; ; ; 
01WM;0;LWOO, VMBO;726 leerlingen;1 vestiging;726 leerlingen, waarvan:;- 47% in de eerste twee leerjaren;- 53% VMBO vanaf leerjaar 3; ; ; ;382 leerlingen VMBO vanaf leerjaar 3;(incl. 119 leerlingen LWOO), waarvan:;- 22% basisberoepsgerichte leerweg;- 27% kaderberoepsgerichte leerweg;- 20% gemengde leerweg;- 30% theoretische leerweg; ; ;9;VMBO b;91;VMBO;94,8446327683616;2;VMBO-breed en VMBO-breed/HAVO;47;27;26;9;21;0;24;47;31;17;28;21;2; ; ; ; ; ; ; ; ;82;94;96; ; ;98,01;94,0312213039486;93,6147087537638; ; ;4;4;4; ; ;6,54367816091954;6,20905923344948;6,19556868537667; ; ;3;3;3; ; ;6,26;5,91818181818182;5,85046728971963; ; ;3;3;3; ; ;6,44545454545455;6,35866666666667;6,1945652173913; ; ;3;3;3; ; ; ; ;7,05; ; ; ; ;5; ; ; ;6,38571428571429;5,87375; ; ; ;4;3; ; ;6,87058823529412;6,26086956521739;6,44010152284264; ; ;4;3;4; ; ; ; ;10; ;65;25;7; ;36;57; ; ; ; ; ; ; ; 
01XF;0;LWOO, VMBO, HAVO, VWO;1174 leerlingen;2 vestigingen;984 leerlingen, waarvan:;- 55% in de eerste twee leerjaren;-  9% VMBO vanaf leerjaar 3;- 19% HAVO vanaf leerjaar 3;- 17% VWO vanaf leerjaar 3; ;90 leerlingen VMBO vanaf leerjaar 3;(incl. 14 leerlingen LWOO), waarvan:;- 100% theoretische leerweg; ; ; ;School voor getalenteerde sporters (LOOT). Op deze school wordt tweetalig onderwijs gegeven.; ;0;geen;100;VMBO, VMBO/HAVO/VWO;87,1667726550079;1;VMBO-breed/HAVO/VWO;30;30;39;5;10;20;25;40;6;0;38;38;19;12;6;39;30;12;6;36;58;95;95;75;97;94; ; ;77,5937965720809;65,854365726725;55,6779884282543; ; ;3;3;3; ; ;6,14433249370277;6,1314606741573;6,50760869565217; ; ;3;3;4; ; ;6,04029850746269;6,41636363636364;6,01666666666667; ; ;3;5;2; ; ;6,25217391304348;5,736;6,31029411764706; ; ;3;2;3; ; ;6,10307692307692;6,16268656716418;6,5578947368421; ; ;3;3;4; ; ;5,98809523809524;6,18709677419355;6,95238095238095; ; ;3;2;5; ; ;6,16178861788618;6,154;6,56626506024096; ; ;3;3;3;7,16153846153846;4; ; ; ; ; ; ; ; ;15;52;24;9;15;35;22;28
01XF;1;LWOO, VMBO, HAVO, VWO;1174 leerlingen;2 vestigingen;190 leerlingen, waarvan:;- 100% VMBO vanaf leerjaar 3; ; ; ; ;190 leerlingen VMBO vanaf leerjaar 3;(incl. 101 leerlingen LWOO), waarvan:;- 43% basisberoepsgerichte leerweg;- 57% kaderberoepsgerichte leerweg; ; ; ; ; ;Niet van toepassing; ;Niet van toepassing; ; ;nvt; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;92,8057843046149;92,8260575609972; ; ; ;3;5; ; ; ;6,86629834254143;5,95561224489796; ; ; ;5;3; ; ; ;6,54807692307692;5,67755102040816; ; ; ;4;2; ; ; ;7,64651162790698;6,56122448979592; ; ; ;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6,66860465116279;5,79183673469388; ; ; ;5;3; ; ; ; ; ; ; ;100; ; ; ;100; ; ; ; ; ; ; ; ; 
01XL;0;VMBO, HAVO, VWO;1900 leerlingen;1 vestiging;1900 leerlingen, waarvan:;- 36% in de eerste twee leerjaren;- 15% VMBO vanaf leerjaar 3;- 26% HAVO vanaf leerjaar 3;- 23% VWO vanaf leerjaar 3; ;290 leerlingen VMBO vanaf leerjaar 3, waarvan:;- 100% theoretische leerweg; ; ; ; ; ; ;45;VMBO (g)t, VWO;55;HAVO/VWO;98,7808129280997;3;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;2;2;63;18;14;8;12;57;17;6;16;39;45; ; ;94;95;99; ; ;82,5727788279773;45,1773387380386;46,0796916456863; ; ;3;1;1; ; ;6,15324519230768;6,01544276457884;6,20815752461323; ; ;3;2;3; ; ;6,1237037037037;5,77112676056338;6,27894736842106; ; ;3;2;3; ; ;6,2133971291866;5,89237668161435;5,95; ; ;3;3;2; ; ;6,40175438596491;6,18394160583942;5,80434782608696; ; ;4;3;2; ; ;6,03063063063063;6,35463917525773;6,0203125; ; ;3;3;2; ; ;6,23671497584541;6,07446808510638;6,47380952380952; ; ;3;2;3;6,8741935483871;3; ; ; ; ; ; ; ; ;15;59;18;9;24;29;18;29
01XN;0;LWOO, VMBO, HAVO, VWO;1942 leerlingen;3 vestigingen;617 leerlingen, waarvan:;- 54% in de eerste twee leerjaren;- 23% HAVO vanaf leerjaar 3;- 23% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ;Op deze school is een internationale schakelklas.; ;50;VMBO b, VMBO (g)t;50;VMBO (g)t/HAVO, HAVO/VWO;103,153460837887;3;VMBO-breed/HAVO/VWO;73;0;27;37;0;0;37;26;6;76;0;0;18;5;0;87;0;8;15;0;85;100;100;100;100;98; ; ; ;83,8373192567445;79,0467695099423; ; ; ;5;5; ; ; ;6,27572559366754;6,82064220183486; ; ; ;3;5; ; ; ;5,95454545454545;6,85925925925926; ; ; ;3;5; ; ; ;6,07111111111111;6,67021276595745; ; ; ;3;5; ; ; ;6,77142857142857;6,43125; ; ; ;5;4; ; ; ;6,16086956521739;6,30714285714286; ; ; ;2;3; ; ; ;6,30280373831776;6,81184210526316; ; ; ;3;4;7,05;4; ; ; ; ; ; ; ; ;5;61;18;16;25;18;36;21
01XN;1;LWOO, VMBO, HAVO, VWO;1942 leerlingen;3 vestigingen;1132 leerlingen, waarvan:;- 45% in de eerste twee leerjaren;- 22% VMBO vanaf leerjaar 3;- 18% HAVO vanaf leerjaar 3;- 15% VWO vanaf leerjaar 3; ;253 leerlingen VMBO vanaf leerjaar 3;(incl. 51 leerlingen LWOO), waarvan:;- 32% basisberoepsgerichte leerweg;- 17% kaderberoepsgerichte leerweg;- 51% theoretische leerweg; ; ; ;56;VMBO b, VMBO (g)t;44;VMBO (g)t/HAVO, HAVO/VWO;106,117021276596;4;VMBO-breed/HAVO/VWO;95;0;5;59;0;0;35;6;3;63;23;3;9;1;20;71;1;6;5;0;95;97;100;97;97;100;100;92,7297668038409;92,6923938132669;69,8002953796051;56,07830791047;5;4;4;5;3;6,99821428571428;6,38387096774193;6,19684684684685;6,37676190476191;6,57626112759645;5;4;3;4;5;6,75476190476191;6,08387096774194;5,81891891891892;6,12666666666666;5,99761904761905;5;3;3;3;3;7,04047619047619;6,51935483870968;6,29248120300752;6,27222222222222;6,54719101123595;4;3;3;4;5; ; ;5,96538461538462;6,54074074074074;6,51842105263158; ; ;3;5;4; ; ;6,0078431372549;6,8;6,98378378378378; ; ;3;4;5;7,1171052631579;6,45;6,37071428571428;6,39673202614379;6,58229166666667;5;5;4;3;4; ; ;12; ;40;48;19; ;32;48;33;32;24;12;5;52;14;29
01XN;2;LWOO, VMBO, HAVO, VWO;1942 leerlingen;3 vestigingen;193 leerlingen, waarvan:;- 100% VMBO vanaf leerjaar 3; ; ; ; ;193 leerlingen VMBO vanaf leerjaar 3;(incl. 31 leerlingen LWOO), waarvan:;- 25% basisberoepsgerichte leerweg;- 22% kaderberoepsgerichte leerweg;- 52% theoretische leerweg; ; ; ; ;Niet van toepassing; ;Niet van toepassing; ; ;nvt; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95,8767361111111;93,4444444444444;82,5047472328191; ; ;3;4;3; ; ;6,78367346938776;6,16916666666667;5,97125506072874; ; ;4;3;2; ; ;6,59183673469388;6,19666666666667;6; ; ;3;3;3; ; ;6,97959183673469;6,31333333333333;6,51269841269841; ; ;4;3;3; ; ; ; ;5,708; ; ; ; ;1; ; ;6,86;6,23636363636364;5,3037037037037; ; ;5;3;1; ; ;6,80142857142857;5,99777777777778;5,79718309859155; ; ;4;3;2; ; ; ; ;31; ;20;49;37; ;23;40; ; ; ; ; ; ; ; 
02AN;0;HAVO, VWO;984 leerlingen;1 vestiging;984 leerlingen, waarvan:;- 35% in de eerste twee leerjaren;- 27% HAVO vanaf leerjaar 3;- 39% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;0;geen;100;HAVO/VWO;101,379310344828;3;HAVO/VWO; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;50;36;14;20;44;36; ; ; ;86;100; ; ; ;59,4355739041547;62,6638301741603; ; ; ;3;4; ; ; ;6,34919168591224;6,0538102643857; ; ; ;5;3; ; ; ;6,14090909090909;6,04390243902439; ; ; ;3;3; ; ; ;6,7494623655914;5,85757575757576; ; ; ;5;3; ; ; ;6,36727272727273;5,91230769230769; ; ; ;4;3; ; ; ;6,6054054054054;6,07931034482759; ; ; ;3;3; ; ; ;5,94330708661417;6,1278947368421; ; ; ;2;3;5,024;1; ; ; ; ; ; ; ; ;23;40;19;18;29;24;16;30
02AP;0;VWO;1063 leerlingen;1 vestiging;1063 leerlingen, waarvan:;- 33% in de eerste twee leerjaren;- 67% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ; ;100;VWO;0;geen;98,6180904522613;3;VWO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2;98; ; ; ; ;96; ; ; ; ;65,3488812765079; ; ; ; ;4; ; ; ; ;6,45658978583196; ; ; ; ;5; ; ; ; ;6,29294871794871; ; ; ; ;4; ; ; ; ;6,56556776556777; ; ; ; ;5; ; ; ; ;6,34322033898305; ; ; ; ;4; ; ; ; ;6,12553191489362; ; ; ; ;3; ; ; ; ;6,46436170212766; ; ; ; ;4;6,61276595744681;3; ; ; ; ; ; ; ; ; ; ; ; ;22;26;23;29
02AR;0;HAVO, VWO;931 leerlingen;1 vestiging;931 leerlingen, waarvan:;- 37% in de eerste twee leerjaren;- 24% HAVO vanaf leerjaar 3;- 39% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;18;VWO;82;HAVO/VWO;100,104645663745;3;HAVO/VWO; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;74;26;0;0;57;43; ; ; ;83;98; ; ; ;67,1403554899968;67,2980113673253; ; ; ;4;4; ; ; ;6,344080604534;6,08448979591837; ; ; ;5;3; ; ; ;6,37017543859649;6,12622950819672; ; ; ;5;3; ; ; ;6,18202247191011;5,78473282442748; ; ; ;3;2; ; ; ;6,29733333333334;6,14464285714286; ; ; ;3;3; ; ; ;6,940625;6,34255319148936; ; ; ;5;3; ; ; ;6,31616161616162;6,2634328358209; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ;25;44;20;11;34;26;23;16
02CI;0;LWOO, VMBO, HAVO, VWO;2423 leerlingen;3 vestigingen;1103 leerlingen, waarvan:;- 29% in de eerste twee leerjaren;- 44% HAVO vanaf leerjaar 3;- 27% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;26;VWO;74;HAVO/VWO;95,5089820359281;2;HAVO/VWO; ; ; ; ; ; ; ; ; ; ; ; ; ;3;21;16;48;12;7;34;59; ; ; ;97;97; ; ; ;65,3575549075947;45,9527390187968; ; ; ;4;2; ; ; ;6,20744680851064;6,30272479564033; ; ; ;3;3; ; ; ;5,87039106145251;6,22842105263158; ; ; ;3;3; ; ; ;5,96780303030303;6,09411764705882; ; ; ;3;3; ; ; ;6,43908045977012;5,99242424242424; ; ; ;4;3; ; ; ;6,67456140350877;6,292; ; ; ;3;3; ; ; ;6,31632653061225;6,56172839506173; ; ; ;3;3;5,76;2; ; ; ; ; ; ; ; ;21;48;20;10;20;23;32;24
02CI;1;LWOO, VMBO, HAVO, VWO;2423 leerlingen;3 vestigingen;634 leerlingen, waarvan:;- 46% in de eerste twee leerjaren;- 54% VMBO vanaf leerjaar 3; ; ; ;340 leerlingen VMBO vanaf leerjaar 3;(incl. 141 leerlingen LWOO), waarvan:;- 41% basisberoepsgerichte leerweg;- 46% kaderberoepsgerichte leerweg;- 14% gemengde leerweg; ; ; ;100;VMBO b, VMBO k, VMBO (g)t;0;geen;93,1922631690039;2;VMBO-breed en VMBO-breed/HAVO;67;2;31;9;9;45;4;34;13;13;74;0;0; ; ; ; ; ; ; ; ;94;98;100; ; ;78,1694018121302;89,3661860491696;100; ; ;2;3;5; ; ;6,20077821011673;6,09518072289156;6,63536585365853; ; ;3;3;5; ; ;6,09846153846154;5,86385542168675;6,5; ; ;3;3;5; ; ;6,37205882352942;6,28539325842697;6,775; ; ;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ;6,04444444444445;5,6625; ; ; ;3;2; ; ; ;6,19204545454545;6,1408;6,55384615384615; ; ;3;3;5; ; ; ; ;43; ;15;42;29; ;44;27; ; ; ; ; ; ; ; 
02CI;2;LWOO, VMBO, HAVO, VWO;2423 leerlingen;3 vestigingen;686 leerlingen, waarvan:;- 59% in de eerste twee leerjaren;- 41% VMBO vanaf leerjaar 3; ; ; ;278 leerlingen VMBO vanaf leerjaar 3;(incl. 7 leerlingen LWOO), waarvan:;- 100% theoretische leerweg; ; ; ; ; ;0;geen;100;VMBO (g)t/HAVO;81,875;1;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;1;0;62;26;11; ; ; ; ; ; ; ; ; ; ;99; ; ; ; ;83,5434688278604; ; ; ; ;3; ; ; ; ;6,34567901234568; ; ; ; ;4; ; ; ; ;6,08518518518519; ; ; ; ;3; ; ; ; ;6,26549707602339; ; ; ; ;3; ; ; ; ;6,49897959183673; ; ; ; ;5; ; ; ; ;6,30227272727272; ; ; ; ;4; ; ; ; ;6,51311475409836; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
02CR;0;VWO;705 leerlingen;1 vestiging;705 leerlingen, waarvan:;- 34% in de eerste twee leerjaren;- 66% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ; ;100;VWO;0;geen;96,9298245614035;2;VWO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;100; ; ; ; ;94; ; ; ; ;72,7244138550526; ; ; ; ;4; ; ; ; ;6,8318116975749; ; ; ; ;5; ; ; ; ;6,69404761904762; ; ; ; ;5; ; ; ; ;7,15109489051095; ; ; ; ;5; ; ; ; ;7,05042016806723; ; ; ; ;5; ; ; ; ;6,99811320754717; ; ; ; ;5; ; ; ; ;6,44918918918919; ; ; ; ;3;6,90666666666666;3; ; ; ; ; ; ; ; ; ; ; ; ;34;27;17;22
02DC;0;LWOO, VMBO, HAVO, VWO;1498 leerlingen;2 vestigingen;1217 leerlingen, waarvan:;- 55% in de eerste twee leerjaren;- 45% VMBO vanaf leerjaar 3; ; ; ;544 leerlingen VMBO vanaf leerjaar 3;(incl. 121 leerlingen LWOO), waarvan:;- 26% basisberoepsgerichte leerweg;- 41% kaderberoepsgerichte leerweg;- 34% theoretische leerweg; ; ; ;30;VMBO b, VMBO k, VMBO (g)t;70;VMBO b/VMBO k, VMBO, VMBO (g)t/HAVO, VMBO (g)t/HAVO/VWO;93,7664355039675;2;VMBO-breed/HAVO/VWO;57;27;16;16;8;53;2;21;8;3;43;34;13;6;21;16;54;3;13;80;7;98;99;96;96;100;89,2303912745432;86,18415279649;81,0669836647008; ; ;3;3;3; ; ;6,5943661971831;6,46230769230769;6,08286445012788; ; ;3;5;3; ; ;6,49178082191781;6,32307692307692;6,34237288135593; ; ;3;4;4; ; ;6,86811594202899;6,62142857142857;6,402; ; ;3;3;3; ; ; ; ;5,91372549019608; ; ; ; ;3; ; ;6,66111111111111;6,43478260869565;5,86; ; ;5;4;3; ; ;6,50495867768595;6,50416666666667;5,87328244274809; ; ;3;4;2; ; ; ; ;25; ;56;19;35; ;34;31; ; ; ; ; ; ; ; 
02DC;3;LWOO, VMBO, HAVO, VWO;1498 leerlingen;2 vestigingen;281 leerlingen, waarvan:;- 40% HAVO vanaf leerjaar 3;- 31% VWO vanaf leerjaar 3;- 30% in gemengd leerjaar 3; ; ; ; ; ; ; ; ; ; ; ;Niet van toepassing; ;Niet van toepassing; ; ;nvt; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;51,0229920766323;56,4043206022725; ; ; ;2;3; ; ; ;6,65396475770925;6,7; ; ; ;5;5; ; ; ;6,35970149253731;6,8125; ; ; ;5;5; ; ; ;6,15841584158416;6,382; ; ; ;3;4; ; ; ;6,83676470588235;6,58947368421053; ; ; ;5;5; ; ; ;6,96969696969697;6,73636363636364; ; ; ;4;4; ; ; ;7,08759124087591;6,90806451612903; ; ; ;5;5; ; ; ; ; ; ; ; ; ; ;21;36;25;19;23;19;29;29
02DF;0;VMBO, HAVO, VWO;1111 leerlingen;1 vestiging;1111 leerlingen, waarvan:;- 43% in de eerste twee leerjaren;- 12% VMBO vanaf leerjaar 3;- 23% HAVO vanaf leerjaar 3;- 21% VWO vanaf leerjaar 3; ;136 leerlingen VMBO vanaf leerjaar 3, waarvan:;- 100% theoretische leerweg; ; ; ; ; ; ;10;VWO;90;VMBO (g)t/HAVO/VWO;107,514450867052;4;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;0;0;71;21;8;14;49;22;10;5;17;31;52; ; ;96;100;100; ; ;85,8052125673214;70,7428014678056;81,4345638033842; ; ;3;4;5; ; ;6,19214285714286;6,15456053067994;6,13470873786408; ; ;3;3;3; ; ;6,08571428571428;6,12258064516129;5,88070175438596; ; ;3;3;1; ; ;6,7551724137931;6,48993288590604;6,32376237623763; ; ;4;5;4; ; ;5,50740740740741;5,7;5,81; ; ;1;1;2; ; ;6,05409836065574;6,51538461538462;5,88333333333333; ; ;3;3;2; ; ;6,08739495798319;5,86078431372549;6,11875; ; ;3;1;2;6,27272727272727;3; ; ; ; ; ; ; ; ;28;40;27;5;17;25;34;24
02DO;0;LWOO, VMBO, HAVO, VWO;2828 leerlingen;4 vestigingen;1492 leerlingen, waarvan:;- 39% in de eerste twee leerjaren;- 30% HAVO vanaf leerjaar 3;- 31% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;22;VMBO (g)t, VWO;78;VMBO (g)t/HAVO, HAVO/VWO;96,6216216216216;3;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;16;57;12;11;26;63; ; ; ;98;97; ; ; ;56,5729263300738;48,7509604033458; ; ; ;3;2; ; ; ;6,07842465753424;6,21436170212766; ; ; ;3;3; ; ; ;5,79624060150376;6,07380952380952; ; ; ;2;3; ; ; ;5,63774509803921;5,83697478991596; ; ; ;1;2; ; ; ;6,0689393939394;6,33717948717949; ; ; ;3;3; ; ; ;6,8037037037037;6,51764705882353; ; ; ;4;3; ; ; ;6,17676348547718;6,3794952681388; ; ; ;3;3;6,15333333333333;3; ; ; ; ; ; ; ; ;18;44;25;13;12;28;31;29
02DO;1;LWOO, VMBO, HAVO, VWO;2828 leerlingen;4 vestigingen;438 leerlingen, waarvan:;- 41% in de eerste twee leerjaren;- 59% VMBO vanaf leerjaar 3; ; ; ;257 leerlingen VMBO vanaf leerjaar 3;(incl. 35 leerlingen LWOO), waarvan:;- 29% basisberoepsgerichte leerweg;- 38% kaderberoepsgerichte leerweg;- 18% gemengde leerweg;- 16% theoretische leerweg; ; ;93;VMBO b, VMBO k;7;VMBO b/VMBO k;90,8333333333333;1;VMBO bk;73;0;27;14;0;0;40;46;6;47;41;6;0; ; ; ; ; ; ; ; ;95;100;100; ; ;94,5216049382716;93,7188773200543;79,1073409763314; ; ;4;4;3; ; ;6,16015625;6,17450980392157;5,96517571884985; ; ;2;3;3; ; ;6,546875;6,50392156862745;5,75192307692307; ; ;3;5;3; ; ;6,16;6,23333333333333;6,26542056074766; ; ;1;3;3; ; ; ; ;5,75454545454546; ; ; ; ;3; ; ; ;6,135;5,79736842105263; ; ; ;3;3; ; ;5,96041666666667;5,95652173913044;5,8474358974359; ; ;2;3;3; ; ; ; ;31; ;17;52;49; ;22;29; ; ; ; ; ; ; ; 
02DO;2;LWOO, VMBO, HAVO, VWO;2828 leerlingen;4 vestigingen;506 leerlingen, waarvan:;- 51% in de eerste twee leerjaren;- 49% VMBO vanaf leerjaar 3; ; ; ;248 leerlingen VMBO vanaf leerjaar 3;(incl. 89 leerlingen LWOO), waarvan:;- 21% basisberoepsgerichte leerweg;- 32% kaderberoepsgerichte leerweg;- 21% gemengde leerweg;- 27% theoretische leerweg; ; ;54;VMBO b, VMBO k;46;VMBO b/VMBO k, VMBO (g)t/HAVO;85,1194944944945;1;VMBO-breed en VMBO-breed/HAVO;76;0;24;14;0;0;40;47;0;20;14;54;11; ; ; ; ; ; ; ; ;97;100;100; ; ;83,1844935868394;77,9895429246079;83,0675834693021; ; ;2;2;3; ; ;6,10568181818182;6,21969696969697;5,9921875; ; ;2;3;2; ; ;6,78181818181818;6,63333333333333;6,03125; ; ;5;5;3; ; ;6,32272727272727;6,21818181818182;6,0959595959596; ; ;2;3;2; ; ; ; ;5,625; ; ; ; ;1; ; ; ; ;5,82156862745098; ; ; ; ;3; ; ;5,65909090909091;5,985;6,03129770992366; ; ;1;3;3; ; ; ; ; ; ; ;100; ; ; ;100; ; ; ; ; ; ; ; 
02DO;3;LWOO, VMBO, HAVO, VWO;2828 leerlingen;4 vestigingen;392 leerlingen, waarvan:;- 48% in de eerste twee leerjaren;- 52% VMBO vanaf leerjaar 3; ; ; ;204 leerlingen VMBO vanaf leerjaar 3;(incl. 87 leerlingen LWOO), waarvan:;- 28% basisberoepsgerichte leerweg;- 37% kaderberoepsgerichte leerweg;- 14% gemengde leerweg;- 22% theoretische leerweg; ; ;89;VMBO b, VMBO k, VMBO (g)t;11;VMBO (g)t/HAVO;87,9422400859849;1;VMBO-breed en VMBO-breed/HAVO;65;0;35;29;0;0;34;37;0;19;13;69;0; ; ; ; ; ; ; ; ;100;100;100; ; ;95,8767361111111;83,2861780699619;85,6189117340869; ; ;3;3;3; ; ;6,03777777777778;6,02583333333333;5,84534412955465; ; ;1;3;2; ; ;6,10833333333333;6,17333333333333;5,4725; ; ;2;3;1; ; ;5,37222222222222;6,19354838709677;5,964; ; ;1;3;2; ; ; ; ;6,03913043478261; ; ; ; ;3; ; ; ; ;5,53888888888889; ; ; ; ;2; ; ;6,25744680851064;6,02222222222222;5,97386363636364; ; ;3;3;3; ; ; ; ; ; ;84;16;30; ;23;47; ; ; ; ; ; ; ; 
